3,-2,-4,0,0,0,7,6,11,5,3,5,-5,-2,0,-3,15,3,-6,-6,2,10,11,15,17,14,16,29,21,7,11,10,18,12,20,20,24,20,24,24,25,11,14,16,20,14,12,21,19,14,15,11,24,23,13,16,16,10,27,19,10,10,9,34,28,16,22,4,2,-8,-16,-16,12,10,7,11,13,8,19,16,6,12,14,12,5,-4,-12,-20,-18,-14,-22,-14,-16,-22,-12,-24,-24,-18,-18,-16,-14,-22,-20,-12,-26,-24,-18,-16,-16,-16,-4,12,20,4,-16,-18,-14,-18,-26,-18,-20,-22,-26,-22,-22,-26,-16,-12,-24,-18,-16,10,-4,-14,-18,-12,-18,-16,-16,-16,-18,-22,-14,-14,-24,-16,-22,-16,-20,-26,-24,-18,-22,-20,-18,-18,-12,-16,-18,-20,-14,-12,-14,-18,-12,-16,-12,-20,-20,-14,-14,-14,-20,-18,-14,-16,-18,-12,9,12,10,15,20,4,6,10,6,4,6,1,-3,-15,-26,-24,-16,-12,-12,-22,-20,-18
10,0,31,23,17,12,6,1,20,10,16,6,6,13,14,18,25,34,28,37,31,25,19,8,13,16,31,17,18,20,16,12,17,14,22,14,35,29,21,13,8,16,6,12,16,22,22,20,21,15,12,12,15,24,24,18,10,13,12,13,17,16,18,14,17,16,12,16,21,18,18,14,27,27,25,23,19,18,14,20,14,12,15,12,16,22,6,20,14,24,24,20,19,22,16,16,18,16,18,16,10,20,8,18,20,22,18,12,8,14,-4,18,6,0,-12,-16,-20,-20,-18,-18,-22,-14,-20,-20,-14,-24,-20,-18,14,12,14,20,18,20,16,22,10,18,20,18,18,14,22,22,18,22,18,18,22,20,22,22,18,22,8,16,2,-16,-16,-12,-22,-18,-16,-16,-20,-12,-14,-12,-16,-14,-18,-14,-24,-12,-20,-30,-20,-14,-18,-20,-16,-20,-18,-18,-20,-26,-26,-22,-14,-14,-20,-24,-22,-22,-22,-22,-12,-12,-16,-14
5,-7,17,15,14,5,5,12,11,30,30,38,30,18,13,28,22,12,11,9,14,10,9,15,13,5,12,13,23,16,10,14,9,12,12,37,29,17,17,14,-1,-6,2,14,8,4,9,5,16,18,10,2,7,9,13,6,9,20,14,5,14,13,3,6,13,19,18,16,16,6,19,7,7,18,16,-2,4,-2,12,14,15,7,23,17,23,15,15,17,18,18,8,10,6,-6,16,8,2,7,11,-1,2,-6,-2,-4,6,0,0,-2,-10,6,13,15,13,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,17,11,17,15,15,11,9,9,4,4,4,8,0,0,2,0,2,0,0,0,6,8,8,-2,6,8,9,8,3,2,-1,-10,0,-4,-8,4,-6,0,-12,-18,-18,-22
-6,-16,-24,-2,-4,-2,0,0,-4,0,0,0,-4,0,0,0,0,-2,0,-2,0,0,0,-2,2,0,-4,0,-2,-2,0,0,-4,-2,0,0,0,0,0,-2,-4,0,0,0,0,-6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,-2,-10,-2,-6,-2,0,0,0,0,-8,0,-2,-6,-2,-4,-10,-2,-4,0,0,-6,0,-2,0,-2,-6,0,0,0,0,-2,-4,0,-2,-4,0,0,-2,-2,0,0,0,0,0,-2,-2,0,0,-10,-2,0,-8,-6,-2,-2,-2,0,0,0,0,-4,0,-4,-2,0,0,-2,-2,0,-2,-2,-2,0,0,0,-2,0,-2,-16,0,0,-2,0,0,-6,0,-2,0,-2,0,-4,0,0,-12,-4,-4,0,0,-6,-2,-4,0,0,0,-2,-2,0,-2,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-1,0,23,17,13,14,13,10,13,5,4,14,11,19,13,14,16,17,17,9,9,3,-2,14,12,7,9,15,13,17,7,7,14,11,15,1,13,13,14,11,11,13,16,13,13,15,18,16,12,9,11,11,13,15,16,16,14,14,11,17,15,14,5,11,13,12,14,18,6,11,10,4,14,16,10,15,13,13,12,4,3,7,12,8,12,12,5,11,13,14,9,12,14,12,15,14,8,10,6,6,13,14,6,14,8,12,8,2,12,10,10,12,12,12,10,10,12,8,12,12,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
4,-16,-18,-14,-10,0,-2,18,2,16,8,11,10,18,12,7,14,14,26,20,20,16,13,13,15,17,16,19,18,23,23,16,31,23,15,20,20,21,22,17,8,14,20,12,24,24,23,29,26,24,14,28,20,20,12,12,15,16,16,2,4,6,14,16,14,18,20,18,20,24,22,24,18,16,16,14,16,16,16,14,16,25,25,25,25,25,25,25,25,23,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,24,22,18,18,16,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
0,-16,0,-14,-2,-6,0,0,-10,0,12,12,6,10,12,12,10,8,10,10,12,12,12,10,8,12,0,2,12,12,10,8,8,6,8,8,8,8,8,8,8,8,8,8,6,6,10,8,10,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,12,8,10,8,10,10,10,10,10,10,12,12,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
8,14,11,19,18,16,15,6,13,16,34,24,27,19,25,11,16,15,13,18,22,18,36,32,26,16,0,11,17,19,15,37,23,23,21,19,19,19,17,15,13,14,8,12,17,7,10,13,11,9,6,16,16,14,16,12,12,12,10,10,24,24,24,24,24,24,24,24,20,20,20,20,16,17,9,13,9,15,15,18,18,14,16,20,15,29,25,19,15,13,13,13,20,8,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,18,18,18,18,18,18,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,17,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
0,0,-2,-10,-4,0,-4,4,9,9,9,9,10,10,12,12,14,10,10,12,12,12,10,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,10,11,7,10,10,10,10,10,8,10,10,10,8,8,7,10,10,10,10,10,10,10,10,10,10,10,10,8,9,9,9,5,7,7,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
