Generations,1,2,3,4,5,6,7,8,9,10
1,8,4,4,0,4,2,0,8,8,4
2,0,-2,0,-14,-4,-2,0,-2,0,-4
3,-2,-3,0,-18,-2,6,-14,-4,-8,-7
4,-6,16,0,-4,8,7,8,-14,4,-6
5,3,12,2,-6,10,36,2,19,6,0
6,20,10,0,13,2,16,11,15,4,4
7,8,20,17,7,4,10,-2,13,-2,-2
8,30,18,9,5,8,3,8,9,1,11
9,18,20,7,14,4,9,12,10,5,10
10,12,18,8,23,7,-1,16,2,4,4
11,23,14,17,17,7,13,12,16,5,0
12,15,18,17,17,13,17,14,12,5,36
13,12,15,15,17,16,12,10,15,5,36
14,17,15,13,17,11,14,10,3,3,34
15,14,8,11,11,9,18,11,14,5,24
16,17,21,5,5,7,16,10,24,3,24
17,6,13,12,-1,19,12,10,22,4,28
18,22,18,6,-3,15,18,11,8,10,18
19,14,18,8,-14,16,22,9,15,12,8
20,13,8,5,-9,35,14,11,20,10,-18
21,12,12,7,-5,33,16,11,24,12,-14
22,25,10,6,4,34,18,11,14,12,-8
23,29,12,2,13,26,20,11,17,12,-6
24,35,4,9,13,22,18,11,20,10,-4
25,25,19,9,8,33,10,11,12,12,-10
26,19,12,6,14,31,16,11,19,12,-2
27,16,8,6,14,27,21,11,17,12,34
28,24,0,8,17,21,15,11,21,12,30
29,24,10,10,4,20,16,9,21,12,24
30,24,16,12,11,20,14,9,17,12,6
31,24,2,3,11,21,22,9,20,12,-8
32,39,12,13,20,22,18,9,13,12,0
33,39,28,15,9,22,14,9,17,12,0
34,33,22,13,7,22,16,9,19,12,-6
35,35,20,9,10,22,16,9,15,10,2
36,35,22,7,5,20,8,9,20,12,2
37,35,12,11,16,24,14,9,21,8,0
38,35,14,3,21,37,18,7,19,12,8
39,35,20,11,14,37,14,11,20,12,30
40,31,13,5,10,35,6,11,20,12,16
41,29,18,2,19,35,24,11,20,12,4
42,31,10,-4,13,31,20,9,20,12,-10
43,31,18,4,19,31,20,11,20,12,0
44,31,12,4,15,31,20,11,20,12,-22
45,31,16,0,0,29,22,9,20,12,7
46,39,20,10,23,29,14,9,20,12,-2
47,39,10,15,11,29,16,11,20,12,-6
48,31,14,14,15,27,20,8,18,10,-4
49,37,28,8,17,39,14,8,20,12,0
50,39,18,13,11,35,22,9,20,12,0
51,39,4,9,2,35,17,9,18,12,-4
52,39,8,10,14,35,20,11,18,12,0
53,39,6,6,27,33,31,11,16,12,0
54,39,10,10,23,31,31,11,16,12,-2
55,35,-2,9,27,37,21,11,17,12,0
56,39,8,7,19,35,18,11,12,12,0
57,39,1,10,10,35,20,11,9,12,-2
58,39,12,9,15,29,20,9,17,10,0
59,35,8,13,17,37,22,5,15,12,-2
60,33,-2,13,16,35,18,11,16,12,0
61,33,14,15,16,35,16,9,15,12,2
62,39,8,9,18,35,20,5,21,12,10
63,39,8,9,18,29,22,9,17,12,10
64,39,24,11,14,29,22,11,21,12,10
65,39,18,6,18,29,18,11,21,12,10
66,39,12,11,18,27,12,11,17,12,10
67,37,12,-4,14,27,14,7,21,12,6
68,37,8,3,13,27,0,9,21,12,6
69,37,12,2,10,27,11,11,19,12,6
70,37,9,-5,-2,27,20,5,20,12,4
71,37,4,-6,0,27,20,11,21,12,18
72,37,16,0,3,25,18,9,17,12,18
73,37,15,8,-4,25,6,7,19,12,18
74,37,17,6,0,25,14,12,21,12,16
75,37,16,8,-9,25,22,17,21,12,16
76,37,19,12,-6,25,16,17,21,12,16
77,37,13,12,-9,24,20,17,21,12,16
78,37,15,12,3,24,20,17,21,12,14
79,37,16,12,-1,24,8,17,21,8,30
80,37,5,12,-7,24,12,17,21,12,28
81,37,12,12,0,24,12,17,21,10,22
82,37,13,12,-1,24,8,17,21,12,22
83,37,17,12,0,24,2,17,21,10,22
84,37,28,12,-6,22,22,15,21,12,22
85,37,26,10,-3,24,12,15,21,12,22
86,37,26,10,2,24,18,15,21,12,22
87,37,24,10,-17,24,12,13,21,12,22
88,37,34,8,-10,24,10,13,21,12,22
89,37,30,8,-5,24,20,13,21,12,22
90,35,30,8,-8,24,22,13,21,12,22
91,39,28,8,-4,24,18,13,21,12,20
92,39,28,8,-10,24,12,13,21,12,20
93,37,16,8,-5,24,12,13,24,12,20
94,39,2,8,-10,24,-2,13,24,12,20
95,39,-12,8,-10,24,-12,13,24,12,20
96,39,-18,8,-11,24,-22,13,22,12,27
97,39,-16,6,-20,24,-18,13,23,12,39
98,39,-20,8,-16,22,-24,13,23,12,39
99,39,-12,8,-12,24,-20,13,23,12,39
100,39,-22,8,-24,24,-18,13,23,12,39
101,39,-12,8,-12,24,-18,13,23,12,37
102,39,-24,8,-18,24,-22,13,23,12,27
103,39,-22,8,-20,24,-18,13,23,12,31
104,39,-18,8,-16,24,-18,13,23,12,21
105,39,-22,8,-12,24,-18,13,23,12,19
106,39,-20,8,-16,24,-22,13,23,12,9
107,39,-22,8,-12,24,-20,13,23,12,16
108,39,-16,8,-24,24,-22,13,23,12,27
109,39,-18,8,-18,24,-14,13,23,12,27
110,39,-18,8,-6,24,-16,13,23,12,15
111,39,-22,8,0,24,-20,13,23,12,3
112,39,-12,8,-4,24,-22,13,23,12,-11
113,39,-16,8,-2,24,-18,13,23,12,-18
114,39,-14,8,-1,24,-20,13,23,12,33
115,39,-12,8,3,24,-20,13,23,12,37
116,39,-20,8,-1,24,-22,13,23,12,39
117,39,-24,8,1,22,-26,13,23,12,39
118,39,-26,12,0,24,-26,13,23,12,39
119,39,-14,8,-5,24,-20,13,23,12,39
120,39,-16,10,-8,24,-14,13,23,12,39
121,39,-22,12,-10,24,-12,13,23,12,39
122,39,-14,12,-4,24,-16,13,23,12,39
123,39,-26,12,-1,24,-22,13,23,12,39
124,39,-14,12,-6,24,-16,13,23,12,39
125,39,10,12,-12,24,-18,13,23,12,39
126,39,8,12,-20,24,-8,13,23,12,39
127,39,8,12,-13,24,-18,13,23,12,39
128,39,-2,12,-11,24,-20,13,23,12,39
129,39,4,12,-16,24,-20,13,23,12,39
130,39,8,12,-26,24,-20,11,23,12,39
131,39,4,12,-18,24,-16,11,23,12,39
132,39,0,12,-18,24,-22,11,23,12,39
133,39,0,12,-22,24,-12,9,23,12,39
134,39,-10,12,-22,24,-12,11,23,12,39
135,39,-10,12,-24,24,-22,11,23,12,39
136,39,-22,12,-20,24,-16,11,23,12,39
137,39,-16,12,-18,24,-24,11,23,12,39
138,39,-20,12,-18,24,-14,11,23,12,39
139,39,-16,12,-22,24,-12,11,23,12,39
140,39,-14,8,-14,24,-22,11,23,12,39
141,39,-18,12,-20,24,-12,11,23,12,39
142,39,-22,12,-16,24,-14,11,23,12,39
143,39,-22,12,-20,24,-18,11,23,12,39
144,39,-12,12,-24,24,-14,7,23,12,39
145,39,-16,12,-12,24,-24,11,23,12,39
146,39,-18,12,-22,24,-18,7,23,12,39
147,39,-22,10,-14,24,-18,11,23,12,39
148,39,-20,10,-20,24,-16,11,23,12,39
149,39,-16,10,-12,24,-26,11,23,12,39
150,39,-18,10,-10,24,-22,11,23,12,39
151,39,6,10,-18,24,-20,11,23,12,39
152,39,7,10,-22,24,-16,11,23,12,39
153,39,7,10,-8,20,-22,11,23,12,39
154,39,13,10,-12,24,-16,11,23,12,39
155,39,1,10,-2,24,-16,11,23,12,39
156,39,14,10,-12,24,-26,11,23,12,39
157,39,14,10,-6,24,-18,11,23,12,39
158,39,15,10,-2,24,-18,11,23,12,39
159,39,14,10,-10,24,-20,11,23,12,39
160,39,10,10,0,24,-24,11,23,12,39
161,39,15,10,4,24,-18,11,23,12,39
162,39,15,10,8,24,-20,11,23,12,39
163,39,8,10,2,24,-16,11,23,12,39
164,39,15,10,10,24,-18,11,23,12,39
165,39,8,8,10,24,-20,9,23,12,39
166,39,15,10,6,24,-24,9,23,12,39
167,39,13,10,6,24,-18,7,23,12,39
168,39,14,10,8,24,-20,5,23,12,39
169,39,8,10,12,24,-20,13,23,12,39
170,39,0,10,12,24,-24,11,23,12,39
171,39,2,10,12,24,-16,13,23,12,39
172,39,-8,10,12,24,-12,3,23,12,39
173,39,-4,10,12,24,-20,8,23,12,39
174,39,10,10,12,24,-16,8,23,12,39
175,39,6,10,10,24,-20,8,23,12,39
176,39,0,10,12,24,-14,8,23,12,39
177,39,2,10,12,24,-22,8,23,12,39
178,39,10,10,12,24,-16,8,23,12,39
179,39,12,10,12,24,-18,8,23,12,39
180,39,4,10,12,24,-20,8,23,12,39
181,39,2,10,12,24,-20,8,23,12,39
182,39,12,10,12,24,-12,8,23,12,39
183,39,0,10,12,24,-18,8,21,12,39
184,39,-6,10,12,24,-24,8,21,12,39
185,39,6,10,10,24,-20,8,21,12,39
186,39,-8,10,10,24,-14,8,21,12,39
187,39,-16,10,10,24,-18,8,21,12,39
188,39,-16,10,10,24,-18,8,21,12,39
189,39,-16,10,8,24,-22,8,21,12,39
190,39,-18,10,8,24,-12,8,21,12,39
191,39,-14,10,8,24,-16,8,21,12,39
192,39,-22,10,8,24,-14,8,21,12,39
193,39,-16,10,8,24,-18,8,21,12,39
194,39,-20,10,8,24,-12,8,21,12,39
195,39,-20,10,8,24,-24,8,21,12,39
196,39,-18,10,8,24,-18,8,21,12,39
197,39,-22,10,8,24,-12,8,21,12,39
198,39,-18,10,8,24,-20,8,21,12,39
199,39,-20,10,8,24,-20,8,21,12,39
200,39,-14,10,8,24,8,8,21,12,39
